"filename", "language", "Docker", "HTML", "JSON", "JavaScript", "Markdown", "Shell Script", "Batch", "CSS", "C#", "XML", "SCSS", "YAML", "SQL", "comment", "blank", "total"
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Admin\GetAdminInformationApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Companies\CreateCompanyApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Companies\DeleteCompanyByIdApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Companies\GetCompaniesApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Companies\GetCompanyByIdApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Companies\GetCompanyIdByNameApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Companies\GetCompanyNameByIdApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Companies\GetCompanyNamesApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Companies\GetEnteredCompaniesApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Companies\GetEnteredCompaniesWithoutPurchaseApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\REACT\ExpoApp-frontend2\backend\src\ExpoAPI\Contracts\Requests\Companies\GetNotEnteredCompaniesApiRequestContract.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
